User: Full Name,Learning Assignment: Completed On,Learning Assignment: Learning Plan: Learning Plan Name,Learning Assignment: Progress %,Learning Assignment: Times Launched,Learning Assignment: Learning Plan Section: Learning Plan Section Name,Question Text,Response Text Long
B2n0R4d3l3tz_david,6/26/2020,SAFe Remote Trainer (Limited Release),100,2,Lesson 2 - Preparing for Remote Training,What is one activity your co-trainer can do to support you while you are teaching a remote class?,"walking"" between ""tables"""
B2n0R4d3l3tz_david,6/26/2020,SAFe Remote Trainer (Limited Release),100,2,Lesson 2 - Preparing for Remote Training,What are some things you have thought about regarding the pre-course setup activities?,"Practice, update technology, set up ""tables, groups, etc."""
B2n0R4d3l3tz_david,6/26/2020,SAFe Remote Trainer (Limited Release),100,2,Lesson 2 - Preparing for Remote Training,What is one way you can gain empathy for the student's virtual classroom experience?,Try exercises myself ahead of time
B2n0R4d3l3tz_david,6/26/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 1 - Welcome to SAFe Remote Trainer,How would you describe remote delivery training (e.g what are some key elements or features)?,Technological considerations - alternate ways to get timely feedback - methods to allow participants to work together - taking time to ensure learning is happening - physical breaks
B2n0R4d3l3tz_david,6/26/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 1 - Welcome to SAFe Remote Trainer,What is different and/or the same between remote and in-person training environments?,"Same: Material, exmples, need for interaction Different: Natural collaboration, immediate/obvious feedback from participants, exercises don't always translate"
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 5 - Teaching SAFe Remotely,"Of the SAFe common topics covered in this lesson, which SAFe topic are you the most excited to use in a remote training class and what do you think will be the outcome (or what was the outcome if you have already tried it)?",The virtual exercises ... a little nervous but I expect them to work.
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 5 - Teaching SAFe Remotely,What is one thing that could go wrong during one of the exercises in the SAFe common topics (such as the penny game or the PI Planning simulation) and what action can you as the trainer take to either solve or prevent it?,groups having issues & needing help ... make sure there are multiple instructors and an easy way for people to get help.
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 5 - Teaching SAFe Remotely,What was your biggest learning from making your lesson plan?,"There were many, but the last think I learned was to setup an intro call with class prior to it ... good idea."
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 4 - Transitioning to Remote Training,What is a best practice you use in your in-person classroom setting that you could also use in a remote training setting?,leverage the parking lot & retro/feedback boards
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 4 - Transitioning to Remote Training,What expert advice or tip has made the most difference to you in your remote trainer journey and why?,Practice & test your tech/tools
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 4 - Transitioning to Remote Training,What is an effective method for collecting fast feedback throughout a remote training class and why?,Polls and/or even the chat
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,How would you facilitate activity debriefs effectively in a virtual classroom and how would you see the group's output?,"make sure group has one person to do readout ahead of time, leverage virtual collaboration tool like Miro"
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What is something you do in your in-person training classroom that you would like to carry over into your virtual classroom?,Leverage the idea of having students play back what they learned.
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What is one tip that you would share with someone preparing to teach a virtual class for the first time?,Do a dry run
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What do you think is the most important working agreement you will establish during your virtual classes and why?,Be on mute when not speaking
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What would you recommend as a tip or method to keep remote learners engaged and why?,Do regular polls and/or exercises to keep people engaged.
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What action(s) can you take or put in place when preparing for remote training to help you manage unanticipated issues?,make sure you have a partner & do a dry run. Maybe anticipate issues and have backup plan
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,Which synchronous collaboration tools are you most likely to use to support your classroom experience and why?,Maybe Miro to allow for real time white boarding
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,How would you modify the length of an existing in-person class to a remote training class?,more days with less class time per day
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What do you think is one benefit of having at least two trainers for your class?,divide the work to allow more focus & flow
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What are some things you have thought about regarding the pre-course setup activities?,look to plan out breakouts & sharing
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What is one way you can gain empathy for the student's virtual classroom experience?,do a dry run
Br31n07chw23ck2rt_austin,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What is one activity your co-trainer can do to support you while you are teaching a remote class?,monitor chats/technology/etc
Br31n07chw23ck2rt_austin,6/10/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 1 - Welcome to SAFe Remote Trainer,How would you describe remote delivery training (e.g what are some key elements or features)?,"reliance on tools & technology, need to engage with class to keep interest & engagement, can reach anyone around the world."
Br31n07chw23ck2rt_austin,6/10/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 1 - Welcome to SAFe Remote Trainer,What is different and/or the same between remote and in-person training environments?,"material is the same, delivery is reliant on technology for remote. In person can utilize walls, posters, handouts, etc, while via ""zoom"" it is a bit more challenging"
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 5 - Teaching SAFe Remotely,What is one thing that could go wrong during one of the exercises in the SAFe common topics (such as the penny game or the PI Planning simulation) and what action can you as the trainer take to either solve or prevent it?,enlarge the object. ctrl-z
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 5 - Teaching SAFe Remotely,What was your biggest learning from making your lesson plan?,"Prepare, prepare"
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 5 - Teaching SAFe Remotely,"Of the SAFe common topics covered in this lesson, which SAFe topic are you the most excited to use in a remote training class and what do you think will be the outcome (or what was the outcome if you have already tried it)?",coin toss... looks fun.
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 4 - Transitioning to Remote Training,What is a best practice you use in your in-person classroom setting that you could also use in a remote training setting?,Checki in with individuals
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 4 - Transitioning to Remote Training,What expert advice or tip has made the most difference to you in your remote trainer journey and why?,Build on the lessons. Ensure that you get answers that propel into the next lessons so that they can be referred back to
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 4 - Transitioning to Remote Training,What is an effective method for collecting fast feedback throughout a remote training class and why?,"Polling, because all members can answer at the same time"
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,How would you facilitate activity debriefs effectively in a virtual classroom and how would you see the group's output?,We could open chat about it our capture a summary of our outputs on a sitcky board
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What would you recommend as a tip or method to keep remote learners engaged and why?,"Take frequent breaks because staying engaged virtually is difficult,"
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What is something you do in your in-person training classroom that you would like to carry over into your virtual classroom?,Parking lot and discussion between the group
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What do you think is the most important working agreement you will establish during your virtual classes and why?,Stay engaged. because it is easy to get distracted during virtual sessions
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What action(s) can you take or put in place when preparing for remote training to help you manage unanticipated issues?,"Have a backup plan incase of internet outage, have someone ready for immediate tech support"
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What is one tip that you would share with someone preparing to teach a virtual class for the first time?,Prepare prepare prepare... Run the the entire class from the learner's point of view
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,How would you modify the length of an existing in-person class to a remote training class?,Twice as many days with no more than 4 hour days and frequent breaks
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,Which synchronous collaboration tools are you most likely to use to support your classroom experience and why?,"Polling, because we can quickly answer questions and discuss the results"
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What do you think is one benefit of having at least two trainers for your class?,One can monitor the chats while the other is presenting
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What are some things you have thought about regarding the pre-course setup activities?,"What activities will be used such as polling or document review, etc. Also how the technology flow will proceed"
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What is one activity your co-trainer can do to support you while you are teaching a remote class?,Monitor Chats and Respond
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What is one way you can gain empathy for the student's virtual classroom experience?,Complete a pre-training experience or attend a virtual class
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,3,Lesson 1 - Welcome to SAFe Remote Trainer,How would you describe remote delivery training (e.g what are some key elements or features)?,"Remote training and facilitation, multiple instructors,"
Ch1d0M44r2_elizabeth,6/21/2020,SAFe Remote Trainer (Limited Release),100,3,Lesson 1 - Welcome to SAFe Remote Trainer,What is different and/or the same between remote and in-person training environments?,Teaching and learning occurs synchronously
0Chr37t3n10L15r2l33_susan,7/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,How would you facilitate activity debriefs effectively in a virtual classroom and how would you see the group's output?,Use collaboration tools and ask to write things down
0Chr37t3n10L15r2l33_susan,7/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What do you think is the most important working agreement you will establish during your virtual classes and why?,Be present
0Chr37t3n10L15r2l33_susan,7/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What is something you do in your in-person training classroom that you would like to carry over into your virtual classroom?,Move around
0Chr37t3n10L15r2l33_susan,7/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What action(s) can you take or put in place when preparing for remote training to help you manage unanticipated issues?,Additional trainers
0Chr37t3n10L15r2l33_susan,7/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What is one tip that you would share with someone preparing to teach a virtual class for the first time?,Practice!
0Chr37t3n10L15r2l33_susan,7/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What would you recommend as a tip or method to keep remote learners engaged and why?,"Open mic and ask for all to speak during check-in, after breaks etc"
0Chr37t3n10L15r2l33_susan,6/17/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What do you think is one benefit of having at least two trainers for your class?,"Ability to fully focus on delivering the topic while other person monitors need for breaks, questions etc"
0Chr37t3n10L15r2l33_susan,6/17/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What is one way you can gain empathy for the student's virtual classroom experience?,"Try acting like a student, test an activity as if being a learner e.g."
0Chr37t3n10L15r2l33_susan,6/17/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What are some things you have thought about regarding the pre-course setup activities?,Test and practice tools and technology. Give pre-work. Add context.
0Chr37t3n10L15r2l33_susan,6/17/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,How would you modify the length of an existing in-person class to a remote training class?,"Change number of days, extend activity time, plan more breaks (1 per hour)"
0Chr37t3n10L15r2l33_susan,6/17/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What is one activity your co-trainer can do to support you while you are teaching a remote class?,Check chat
0Chr37t3n10L15r2l33_susan,6/17/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,Which synchronous collaboration tools are you most likely to use to support your classroom experience and why?,Teams - chosen by company.
0Chr37t3n10L15r2l33_susan,6/17/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 1 - Welcome to SAFe Remote Trainer,What is different and/or the same between remote and in-person training environments?,"1. Same - share stories, foster learning environment w interactions & engagement, exercises & sharing. Different - visual cues, need for collaboration tools and knowing how to use them, time consumed, number of trainers"
0Chr37t3n10L15r2l33_susan,6/17/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 1 - Welcome to SAFe Remote Trainer,How would you describe remote delivery training (e.g what are some key elements or features)?,"Different locations, same time teaching and learning, dependent on technology, collaboration tools needed, need to create space for interactions, engagement and feedback virtually, think through virtual room set up"
D1n32l0H1lb2r,6/12/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 5 - Teaching SAFe Remotely,What is one thing that could go wrong during one of the exercises in the SAFe common topics (such as the penny game or the PI Planning simulation) and what action can you as the trainer take to either solve or prevent it?,I've already seen people completely mess-up a Miro board and run away instead of simply undoing (CTRL-Z) their mistakes; fortunately I have a backup on that board and can very easily restore what is damaged
D1n32l0H1lb2r,6/12/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 5 - Teaching SAFe Remotely,"Of the SAFe common topics covered in this lesson, which SAFe topic are you the most excited to use in a remote training class and what do you think will be the outcome (or what was the outcome if you have already tried it)?","color slides sent to everyone, and the interactive exercices/games"
D1n32l0H1lb2r,6/12/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 5 - Teaching SAFe Remotely,What was your biggest learning from making your lesson plan?,"in addition to the usual content preparation, there is a big technology preparation and also a different way to interact with the students"
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 4 - Transitioning to Remote Training,What is a best practice you use in your in-person classroom setting that you could also use in a remote training setting?,"link the concepts to the reality of the team, of our company; and keep the class engaged and learning by frequent interactions and discussions"
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 4 - Transitioning to Remote Training,What is an effective method for collecting fast feedback throughout a remote training class and why?,"poll and chat, also asking questions to the class making sure the concepts presented are understood"
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 4 - Transitioning to Remote Training,What expert advice or tip has made the most difference to you in your remote trainer journey and why?,prepare and rehearse
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What is one tip that you would share with someone preparing to teach a virtual class for the first time?,"know the content, master the technology"
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What would you recommend as a tip or method to keep remote learners engaged and why?,"short lessons with interactive participation, sending questions to randomly selected learners to assess the global understanding and keep them engaged"
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What is something you do in your in-person training classroom that you would like to carry over into your virtual classroom?,"use examples from our company, elicit questions"
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What do you think is the most important working agreement you will establish during your virtual classes and why?,"speak-up, provide feedback, and peaceful accept the technological and humain limitations"
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What action(s) can you take or put in place when preparing for remote training to help you manage unanticipated issues?,"prepare, rehearse, have a backup plan (e.g., MS Teams to Miro)"
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,How would you facilitate activity debriefs effectively in a virtual classroom and how would you see the group's output?,"ask each team to share insight on their activity, then comment on it"
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What do you think is one benefit of having at least two trainers for your class?,"the people who need special assistance do not stop the entire class, and two trainers is ALWAYS better, remote or not"
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What are some things you have thought about regarding the pre-course setup activities?,making sure people are all familiar with MS Teams that we use in our company + Miro which may come handy some times
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,How would you modify the length of an existing in-person class to a remote training class?,"double length, 4 hours per day, breaks almost every hour"
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What is one activity your co-trainer can do to support you while you are teaching a remote class?,"help people with specific questions, technology issues, escalate / take over the training if I am not available (backing me up) or if an answer would benefit the entire class"
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,Which synchronous collaboration tools are you most likely to use to support your classroom experience and why?,"MS Teams video meetings + chats because people are mostly used to that already in my company , Miro boards for visual activities"
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What is one way you can gain empathy for the student's virtual classroom experience?,"talking to the persons, not to ""the class""; asking for their feedback; randomly prompting them with questions"
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 1 - Welcome to SAFe Remote Trainer,How would you describe remote delivery training (e.g what are some key elements or features)?,"more preparation and reliance on technology, takes more time to deliver as well"
D1n32l0H1lb2r,6/11/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 1 - Welcome to SAFe Remote Trainer,What is different and/or the same between remote and in-person training environments?,Different: class feedback mechanisms and ability to collaborate in group activities. Same concepts/approach/mindset/framework are taught
D1wn07t4w2r7,6/5/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 1 - Welcome to SAFe Remote Trainer,How would you describe remote delivery training (e.g what are some key elements or features)?,"online - everyone in different locations, 1 or more trainer, collaboration tools"
